bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,model_info,numberOfDoors,vehicleTransmission,Владельцы,ПТС,Привод,Руль,sample,price,model_time,xDrive,comment_length
хэтчбек,BMW,белый,-1.1165989327863077,-1.2909945776461451,бензин,-0.46868867878264153,E_KLASSE,3,автоматическая,-2,Оригинал,задний,Левый,0,0.0,0.5708645131613566,0,-0.41103194599916465
седан,BMW,чёрный,-0.7377318076923104,-0.65725381513024,бензин,1.583802835038422,E_KLASSE,4,автоматическая,-1,Оригинал,задний,Левый,0,0.0,-0.1648909687761239,0,-0.5186994070780729
внедорожник,BMW,чёрный,0.20943600504268312,-0.34497575823834464,дизель,1.1439832249339084,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.5327687097448641,0,0.5200922081462086
внедорожник,BMW,серый,-0.7377318076923104,-0.7215463562550419,дизель,0.1421718908069607,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,0.7548033836457266,0,0.11334846629255517
седан,MERCEDES,чёрный,1.8196212866921724,1.831785991272808,бензин,-0.8157796544234535,E_KLASSE,4,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.5327687097448641,0,3.960466357991693
седан,BMW,чёрный,0.20943600504268312,-0.22557532472085526,бензин,2.072491290710104,E_KLASSE,4,автоматическая,0,Оригинал,задний,Левый,0,0.0,1.6744977360675772,0,-0.5067363558470831
седан,MERCEDES,чёрный,1.8196212866921724,1.831785991272808,бензин,-0.2487788737303847,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,1.5160162231261098
седан,AUDI,чёрный,-0.9271653702393091,-0.6021459227375525,бензин,-0.25305489771751194,E_KLASSE,4,роботизированная,0,Оригинал,передний,Левый,0,0.0,-0.7167075802292342,0,0.5210891290821243
внедорожник,MERCEDES,чёрный,1.1566038177776767,1.5286925831130271,бензин,-1.3141197070946509,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.9006464507136043,0,0.31073881160388694
седан,MERCEDES,зелёный,-0.7377318076923104,-0.65725381513024,бензин,-1.1162008825476197,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.0845853211979744,0,-0.33127827112589925
купе,MERCEDES,серебристый,1.8196212866921724,1.831785991272808,бензин,-0.7374673294020665,E_KLASSE,2,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.5327687097448641,0,-0.7190805151971521
седан,AUDI,серебристый,-0.9271653702393091,-0.8501314385046459,бензин,1.0218111110159878,E_KLASSE,4,вариатор,-2,Дубликат,передний,Левый,0,0.0,1.1226811246144668,0,-0.7380220129795526
седан,BMW,серебристый,-0.7377318076923104,-0.8501314385046459,дизель,1.339458607202581,E_KLASSE,4,автоматическая,-2,Оригинал,задний,Левый,0,0.0,0.9387422541300967,0,-0.2983798802406773
седан,AUDI,белый,-0.7377318076923104,-0.6939924100586983,бензин,0.9729300482374279,E_KLASSE,4,вариатор,-2,Оригинал,передний,Левый,0,0.0,-0.1648909687761239,0,-0.4887917790005984
хэтчбек,BMW,оранжевый,-1.2113157140598072,-1.0981169542717393,бензин,-1.2872418420327085,E_KLASSE,5,автоматическая,0,Оригинал,задний,Левый,0,0.0,-1.2685241916823444,0,1.8420093691705821
внедорожник,BMW,серый,0.20943600504268312,-0.06025164754279303,дизель,-1.2996423115953775,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.4524630621667147,0,0.025619423931963262
купе,BMW,белый,0.20943600504268312,0.15099527329584203,бензин,-0.005412022805887206,E_KLASSE,2,автоматическая,-1,Оригинал,задний,Левый,0,0.0,0.5708645131613566,0,-0.40505042038366973
седан,AUDI,синий,-0.35886468259831306,-0.7215463562550419,бензин,2.5733969577735776,E_KLASSE,4,вариатор,0,Оригинал,передний,Левый,0,0.0,1.1226811246144668,0,-0.5486070351555474
седан,BMW,серый,-1.2113157140598072,-1.0981169542717393,бензин,-1.378797624202798,E_KLASSE,4,автоматическая,0,Оригинал,задний,Левый,0,0.0,-0.9006464507136043,0,-0.5595731654506214
внедорожник,MERCEDES,белый,0.20943600504268312,-0.2898678658456572,дизель,1.089005773670844,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.7548033836457266,0,-0.3552043735878789
внедорожник,AUDI,зелёный,-0.7377318076923104,-0.06025164754279303,бензин,-1.2139385736819561,E_KLASSE,5,роботизированная,-1,Оригинал,полный,Левый,0,0.0,-1.2685241916823444,0,-0.4349580484611443
седан,AUDI,чёрный,-1.3060324953333067,-1.2267020365213432,бензин,0.1788235249823368,E_KLASSE,4,роботизированная,-1,Оригинал,передний,Левый,0,0.0,-0.348829839260494,0,-0.40205965757592227
хэтчбек,MERCEDES,серый,-0.6430150264188109,-1.0981169542717393,дизель,-0.8352050205364028,E_KLASSE,5,роботизированная,0,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,0.40345245864405793
седан,AUDI,чёрный,-0.9271653702393091,-0.6021459227375525,бензин,-0.45110811158985276,E_KLASSE,4,роботизированная,-1,Оригинал,передний,Левый,0,0.0,-0.7167075802292342,0,0.26488044855175935
лифтбек,BMW,чёрный,-0.7377318076923104,-0.65725381513024,бензин,-0.39988134422406874,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,-0.1648909687761239,1,-0.4080411831914172
седан,BMW,синий,-0.7377318076923104,-0.65725381513024,бензин,-0.696955056426884,E_KLASSE,4,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.9006464507136043,1,-0.3851120016653534
купе,BMW,красный,-0.7377318076923104,-0.0969902424712513,бензин,-0.06552070285350406,E_KLASSE,2,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.5327687097448641,1,-0.7380220129795526
седан,MERCEDES,чёрный,2.577355536880167,2.768620161948494,бензин,-0.08338226590830403,E_KLASSE,4,автоматическая,-2,Оригинал,полный,Левый,0,0.0,-0.1648909687761239,0,0.35560025372009874
внедорожник,AUDI,белый,0.20943600504268312,-0.0969902424712513,дизель,0.056651411064416374,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.20298677219261632,0,-0.41302578787099625
седан,MERCEDES,синий,0.20943600504268312,0.7112588459548307,бензин,-0.36699261115736453,E_KLASSE,4,автоматическая,-2,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,-0.1408663723659782
хэтчбек,AUDI,красный,-0.26414790132481364,0.7755513870796327,бензин,0.1788235249823368,E_KLASSE,5,роботизированная,-2,Оригинал,полный,Левый,0,0.0,-0.1648909687761239,0,0.7144917906497928
внедорожник,BMW,чёрный,0.20943600504268312,0.46327333018773736,бензин,-0.3587337762565131,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.348829839260494,0,-0.5296655373731469
седан,AUDI,чёрный,-0.9271653702393091,-0.7858388973798439,бензин,0.6064259236950583,E_KLASSE,4,вариатор,-2,Оригинал,передний,Левый,0,0.0,-0.1648909687761239,0,-0.42399191816607024
седан,MERCEDES,белый,-1.1165989327863077,-0.9144239796294479,бензин,-1.2024666121850633,E_KLASSE,4,автоматическая,-1,Оригинал,задний,Левый,0,0.0,-0.7167075802292342,0,2.1869440129974547
внедорожник,BMW,коричневый,-0.7377318076923104,-0.9695318720221353,бензин,0.11773746802337659,E_KLASSE,5,автоматическая,0,Оригинал,задний,Левый,0,0.0,0.20298677219261632,0,0.3416433606172773
внедорожник,BMW,серый,0.20943600504268312,-0.34497575823834464,дизель,3.294212429889308,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,1.3066199950988369,0,-0.4359549693970601
седан,BMW,синий,-0.7377318076923104,-0.65725381513024,бензин,-0.004434645894543843,E_KLASSE,4,автоматическая,-1,Оригинал,задний,Левый,0,0.0,-0.9006464507136043,0,2.038402793545998
седан,BMW,чёрный,-0.7377318076923104,-0.9144239796294479,бензин,-0.06552070285350406,E_KLASSE,4,автоматическая,-1,Оригинал,задний,Левый,0,0.0,0.5708645131613566,0,-0.5815054260407694
внедорожник,BMW,белый,0.20943600504268312,0.0775180834389255,бензин,0.1421718908069607,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,0.7548033836457266,0,-0.7509819851464583
седан,AUDI,чёрный,2.293205193059669,1.785862747612235,бензин,-0.13882397120425632,E_KLASSE,4,автоматическая,-2,Дубликат,полный,Левый,0,0.0,0.7548033836457266,0,-0.36716742481886866
седан,MERCEDES,чёрный,0.20943600504268312,-0.06025164754279303,дизель,-0.17547560537963244,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.5327687097448641,0,-0.29339527556109823
внедорожник,AUDI,синий,-0.7377318076923104,-0.7858388973798439,бензин,0.06830663073218599,E_KLASSE,5,роботизированная,-1,Оригинал,полный,Левый,0,0.0,-0.1648909687761239,0,-0.7390189339154685
седан,AUDI,красный,-1.3060324953333067,-1.2267020365213432,бензин,-0.05877680216523486,E_KLASSE,4,роботизированная,-2,Оригинал,передний,Левый,0,0.0,-0.348829839260494,0,0.025619423931963262
седан,BMW,белый,-0.7377318076923104,-0.6021459227375525,дизель,-0.9286544704722202,E_KLASSE,4,автоматическая,0,Оригинал,задний,Левый,0,0.0,-1.0845853211979744,0,-0.7380220129795526
внедорожник,BMW,чёрный,1.5354709428716744,2.750250864484265,бензин,0.6552947692622265,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,0.20298677219261632,0,-0.7589573526337848
седан,BMW,чёрный,1.5354709428716744,1.3909228521313086,бензин,-0.7585420190529077,E_KLASSE,4,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.3869256426769864,1,0.7922516236512266
седан,BMW,чёрный,-0.7377318076923104,-0.0969902424712513,бензин,0.5942087123032663,E_KLASSE,4,автоматическая,-1,Оригинал,полный,Левый,0,0.0,0.20298677219261632,1,0.26488044855175935
седан,AUDI,серебристый,-0.7377318076923104,-1.1532248466644266,бензин,1.8281470628742629,E_KLASSE,4,механическая,-2,Оригинал,передний,Левый,0,0.0,1.1226811246144668,0,0.5051383941074713
купе-хардтоп,MERCEDES,серый,-0.7377318076923104,-0.65725381513024,бензин,-0.46023436849952143,E_KLASSE,2,автоматическая,0,Оригинал,задний,Левый,0,0.0,-0.5327687097448641,0,-0.714095910517573
седан,AUDI,чёрный,-0.9271653702393091,-0.6021459227375525,бензин,-0.12660675981246428,E_KLASSE,4,роботизированная,-1,Оригинал,передний,Левый,0,0.0,-0.7167075802292342,0,-0.6811975196323511
внедорожник,MERCEDES,белый,0.20943600504268312,1.023536902846726,бензин,-1.4580018056557857,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.6364019326510848,0,-0.1408663723659782
седан,BMW,синий,-1.2113157140598072,-1.0981169542717393,бензин,-0.7399107716804249,E_KLASSE,4,автоматическая,0,Оригинал,задний,Левый,0,0.0,-0.9006464507136043,0,0.2489297135771063
седан,MERCEDES,чёрный,0.20943600504268312,0.7112588459548307,бензин,-0.6183128666979186,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,-0.44093957407663914
седан,BMW,синий,-0.7377318076923104,-0.6021459227375525,дизель,0.36208169585921746,E_KLASSE,4,автоматическая,0,Оригинал,задний,Левый,0,0.0,-0.5327687097448641,0,-0.2156354425596645
седан,BMW,чёрный,0.20943600504268312,1.3266303110065067,дизель,-1.469510418786854,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.9006464507136043,1,0.025619423931963262
седан,BMW,серый,0.20943600504268312,-0.06025164754279303,дизель,-1.4704267096412384,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.6364019326510848,1,3.5547195370739555
лифтбек,AUDI,белый,0.02000244249568425,-0.4735608404879486,бензин,-0.13882397120425632,E_KLASSE,5,роботизированная,-1,Оригинал,полный,Левый,0,0.0,0.01904790170824622,0,-0.5037455930393356
внедорожник,MERCEDES,чёрный,-0.7377318076923104,-0.06025164754279303,бензин,-1.4100981197885691,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.6364019326510848,0,5.623330479099276
внедорожник,MERCEDES,чёрный,2.577355536880167,1.2164145262211319,бензин,-1.0372654797452514,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.348829839260494,0,-0.714095910517573
седан,MERCEDES,чёрный,1.1566038177776767,1.960371073522412,бензин,-1.2139385736819561,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.2685241916823444,0,-0.3781335551139427
внедорожник,BMW,белый,-0.7377318076923104,-0.5837766252733234,бензин,-0.02886906867812793,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.9006464507136043,1,-0.14286021423780984
внедорожник,BMW,серый,0.20943600504268312,-0.22557532472085526,бензин,2.072491290710104,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,1.3066199950988369,0,-0.512717881462578
универсал,AUDI,чёрный,0.02000244249568425,-0.4184529480952612,бензин,0.9240734198816515,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,1.1226811246144668,0,-0.768926561992943
внедорожник,AUDI,белый,-0.7377318076923104,-0.4092682993631466,бензин,-0.031312510956486336,E_KLASSE,5,роботизированная,-2,Оригинал,полный,Левый,0,0.0,0.3869256426769864,0,-0.3611858992033738
внедорожник,BMW,чёрный,0.20943600504268312,-0.06025164754279303,дизель,-1.152852516722996,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,1.0703925647717396
внедорожник,AUDI,синий,0.20943600504268312,-0.15209813486393872,дизель,1.0951143793667402,E_KLASSE,5,роботизированная,0,Оригинал,полный,Левый,0,0.0,0.3869256426769864,0,-0.42997344378156516
внедорожник,MERCEDES,чёрный,0.20943600504268312,-0.06025164754279303,дизель,0.6308603464786424,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.348829839260494,0,-0.43994265314072334
купе,AUDI,синий,-0.7377318076923104,-0.5102994354164069,бензин,-0.7924447806651307,E_KLASSE,2,роботизированная,-1,Оригинал,передний,Левый,0,0.0,0.7548033836457266,0,-0.7021328592865832
внедорожник,AUDI,белый,-0.7377318076923104,-0.7858388973798439,бензин,-0.44425425599905743,E_KLASSE,5,роботизированная,-1,Оригинал,полный,Левый,0,0.0,-0.1648909687761239,0,-0.5645577701302005
внедорожник,AUDI,чёрный,0.20943600504268312,0.7755513870796327,бензин,-1.2884146943263204,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.4524630621667147,0,0.35560025372009874
лифтбек,BMW,серый,0.20943600504268312,0.46327333018773736,бензин,0.16660631359054476,E_KLASSE,5,автоматическая,-2,Оригинал,задний,Левый,0,0.0,0.20298677219261632,0,-0.17675552605894762
внедорожник,AUDI,серый,1.3460373803246755,0.8673978744007783,бензин,0.7285980376129788,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,0.9387422541300967,0,0.5499998362236831
купе,BMW,белый,1.1566038177776767,1.510323285648798,бензин,-0.871856654711779,E_KLASSE,2,роботизированная,-1,Оригинал,задний,Левый,0,0.0,0.5708645131613566,0,-0.5157086442703255
купе,BMW,белый,0.20943600504268312,1.785862747612235,бензин,-0.7374673294020665,E_KLASSE,2,роботизированная,-1,Оригинал,задний,Левый,0,0.0,-0.7167075802292342,0,-0.6542806543626241
седан,AUDI,белый,0.20943600504268312,0.40816543779504993,бензин,-0.0648487562269555,E_KLASSE,4,роботизированная,0,Оригинал,полный,Левый,0,0.0,-0.1648909687761239,0,0.26388352761584355
внедорожник,BMW,белый,0.20943600504268312,1.15212198509633,дизель,-0.4320370446072654,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.348829839260494,0,2.671447587852542
седан,MERCEDES,чёрный,-0.6430150264188109,-0.4735608404879486,дизель,-0.22434445094680064,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,2.1141687846756
седан,AUDI,белый,-0.7377318076923104,-0.4092682993631466,бензин,0.9118562084898595,E_KLASSE,4,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.5708645131613566,0,-0.762945036377448
седан,BMW,серый,0.20943600504268312,0.08670273217104006,дизель,-1.2078299679860602,E_KLASSE,4,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.9006464507136043,1,-0.665246784657698
седан,BMW,синий,-0.26414790132481364,-0.5837766252733234,бензин,0.04443419967262433,E_KLASSE,4,механическая,-1,Оригинал,задний,Левый,0,0.0,1.8584366065519473,0,-0.5675485329379479
внедорожник,MERCEDES,чёрный,0.20943600504268312,0.022410191046238082,дизель,1.0278830650777084,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,-0.348829839260494,0,-0.714095910517573
седан,BMW,белый,-0.7377318076923104,-0.65725381513024,бензин,-0.4931231015662256,E_KLASSE,4,автоматическая,-1,Оригинал,задний,Левый,0,0.0,-0.5327687097448641,0,-0.8117941622373231
внедорожник,BMW,серый,1.5354709428716744,1.785862747612235,бензин,-0.46868867878264153,E_KLASSE,5,автоматическая,0,Дубликат,полный,Левый,0,0.0,-0.5327687097448641,0,-0.5894807935280959
внедорожник,BMW,синий,0.20943600504268312,-0.06025164754279303,дизель,-0.493391880216845,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.5327687097448641,0,-0.3851120016653534
внедорожник,BMW,коричневый,-0.7377318076923104,-0.65725381513024,бензин,-0.981188479456926,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,1,-0.3851120016653534
купе,MERCEDES,белый,0.20943600504268312,1.234783823685361,бензин,-1.460396379088577,E_KLASSE,2,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.4524630621667147,0,4.230631931624879
хэтчбек,BMW,чёрный,-0.7377318076923104,-1.0981169542717393,бензин,-0.10699813552863804,E_KLASSE,5,автоматическая,-2,Дубликат,задний,Левый,0,0.0,0.5708645131613566,0,0.4403385332729432
седан,MERCEDES,чёрный,-0.9271653702393091,-0.65725381513024,бензин,0.4842538097771379,E_KLASSE,4,автоматическая,-2,Оригинал,задний,Левый,0,0.0,0.20298677219261632,0,-0.6074253703745807
седан,BMW,чёрный,0.20943600504268312,0.7755513870796327,бензин,-1.2261557850737481,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.0845853211979744,1,-0.3502197689082998
седан,MERCEDES,чёрный,-0.7377318076923104,-0.5378533816127505,бензин,-1.3441862643298512,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.0845853211979744,0,-0.14286021423780984
седан,MERCEDES,коричневый,-0.6430150264188109,-0.4735608404879486,дизель,0.25212679333308907,E_KLASSE,4,автоматическая,-2,Оригинал,полный,Левый,0,0.0,-0.5327687097448641,0,-0.501751751167504
внедорожник,BMW,чёрный,0.20943600504268312,0.46327333018773736,бензин,0.928740394633316,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.01904790170824622,0,-0.19071241916176906
внедорожник,BMW,серый,-0.7377318076923104,-0.6021459227375525,дизель,-0.6189603789016836,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,-0.42100115535832283
седан,AUDI,коричневый,-0.9271653702393091,-1.2450713339855723,бензин,-0.6275124268759381,E_KLASSE,4,вариатор,-1,Оригинал,передний,Левый,0,0.0,-0.1648909687761239,0,-0.7559665898260374
внедорожник,MERCEDES,серый,0.20943600504268312,-0.06025164754279303,дизель,0.5816494189925041,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.9006464507136043,0,-0.1408663723659782
седан,BMW,серый,0.20943600504268312,-0.06025164754279303,дизель,-0.39538541043188924,E_KLASSE,4,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.0845853211979744,1,-0.4957702255520091
внедорожник,BMW,чёрный,1.5354709428716744,1.3909228521313086,бензин,0.03316993076939207,E_KLASSE,5,автоматическая,-2,Дубликат,полный,Левый,0,0.0,0.01904790170824622,0,1.2079676539281223
седан,AUDI,чёрный,0.02000244249568425,-0.3266064607741155,бензин,-1.0111328645782083,E_KLASSE,4,роботизированная,0,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,0.2509235554489379
внедорожник,MERCEDES,чёрный,0.398869567589682,-0.4184529480952612,бензин,2.971226012324502,E_KLASSE,3,автоматическая,-1,Оригинал,полный,Левый,0,0.0,3.6978253113956483,0,0.4822092125814075
седан,BMW,чёрный,1.5354709428716744,0.7112588459548307,бензин,1.2539381274600367,E_KLASSE,4,автоматическая,-2,Оригинал,задний,Левый,0,0.0,1.4905588655832072,0,0.637728878584275
лифтбек,BMW,чёрный,0.20943600504268312,-0.06025164754279303,дизель,-0.9818115572379074,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-1.2685241916823444,1,-0.7928526644549226
внедорожник,MERCEDES,чёрный,2.577355536880167,2.649219728431005,бензин,-1.1847394384555732,E_KLASSE,5,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.348829839260494,0,-0.610416133182328
внедорожник,AUDI,зелёный,-0.7377318076923104,-0.06025164754279303,бензин,-0.7008156952266903,E_KLASSE,5,роботизированная,0,Оригинал,полный,Левый,0,0.0,-1.2685241916823444,0,-0.550600877027379
внедорожник,AUDI,красный,1.3460373803246755,0.8673978744007783,бензин,1.608237257822006,E_KLASSE,5,автоматическая,-2,Оригинал,полный,Левый,0,0.0,0.9387422541300967,0,0.5210891290821243
седан,MERCEDES,чёрный,-0.7377318076923104,-0.9695318720221353,дизель,1.1317660135421161,E_KLASSE,4,автоматическая,-1,Оригинал,задний,Левый,0,0.0,-1.0845853211979744,0,0.9178636615766196
внедорожник,AUDI,чёрный,-0.7377318076923104,-0.4092682993631466,бензин,0.6630282640732309,E_KLASSE,5,роботизированная,-2,Оригинал,полный,Левый,0,0.0,0.3869256426769864,0,0.26388352761584355
внедорожник,MERCEDES,чёрный,0.20943600504268312,-0.0969902424712513,дизель,-1.1162008825476197,E_KLASSE,5,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.9006464507136043,0,2.47405724254121
седан,MERCEDES,чёрный,-0.7377318076923104,-0.5378533816127505,бензин,-1.470047976088093,E_KLASSE,4,автоматическая,0,Оригинал,задний,Левый,0,0.0,-1.0845853211979744,0,-0.7868711388394277
седан,AUDI,чёрный,-0.7377318076923104,-0.6939924100586983,бензин,-0.22678789322515905,E_KLASSE,4,вариатор,-2,Дубликат,передний,Левый,0,0.0,-0.1648909687761239,0,-0.0880295627624399
седан,BMW,чёрный,0.02000244249568425,-0.5745919765412089,бензин,3.1231714704042197,E_KLASSE,4,автоматическая,-1,Оригинал,задний,Левый,0,0.0,2.2263143475206877,0,0.048548605458027055
хэтчбек,BMW,белый,-0.7377318076923104,-0.65725381513024,бензин,-1.3532147835483854,E_KLASSE,5,автоматическая,-1,Оригинал,задний,Левый,0,0.0,-0.9006464507136043,0,-0.762945036377448
седан,BMW,синий,-0.7377318076923104,-0.9695318720221353,бензин,1.9869708109675595,E_KLASSE,4,автоматическая,-2,Оригинал,задний,Левый,0,0.0,3.6978253113956483,0,-0.4977640674238407
седан,AUDI,чёрный,-0.9271653702393091,-0.7858388973798439,бензин,0.11773746802337659,E_KLASSE,4,вариатор,-1,Оригинал,передний,Левый,0,0.0,-0.1648909687761239,0,-0.7719173248006904
хэтчбек,MERCEDES,чёрный,-1.1165989327863077,-1.2267020365213432,бензин,0.6064259236950583,E_KLASSE,5,роботизированная,-1,Оригинал,передний,Левый,0,0.0,-0.1648909687761239,0,-0.6004469238231699
седан,MERCEDES,чёрный,-0.5482982451453116,-0.9695318720221353,бензин,1.583802835038422,E_KLASSE,4,автоматическая,-2,Оригинал,задний,Левый,0,0.0,3.146008699942538,0,-0.6363360775161393
купе-хардтоп,MERCEDES,коричневый,0.6830199114101799,0.46327333018773736,бензин,-1.1308615362177703,E_KLASSE,2,автоматическая,0,Оригинал,полный,Левый,0,0.0,-0.5327687097448641,0,-0.5476101142196316
минивэн,MERCEDES,чёрный,-0.6430150264188109,-0.6021459227375525,дизель,-1.1065859371822795,E_KLASSE,4,автоматическая,-1,Оригинал,полный,Левый,0,0.0,-0.7167075802292342,0,-0.39408429008859575
